grid,drv_pts_to_date,drv_roll_pts_5,drv_roll_pos_5,drv_roll_dnf_5,con_pts_to_date,con_roll_pts_5,round_norm,win,season
18,0.0,0.0,14.0,0.0,1.0,0.25,0.6,0,2023
14,1.0,0.5,11.5,0.0,7.0,1.4,0.6,0,2023
2,18.0,9.0,5.5,0.0,56.0,11.2,0.6,0,2023
8,1.0,0.5,14.5,0.5,1.0,0.2,0.6,0,2023
7,6.0,3.0,13.0,0.5,26.0,5.2,0.6,0,2023
3,54.0,18.0,2.6666666666666665,0.0,123.0,19.6,0.8,1,2023
2,69.0,23.0,1.3333333333333333,0.0,148.0,21.0,0.8,0,2023
1,6.0,2.0,15.333333333333334,0.6666666666666666,26.0,2.8,0.8,0,2023
6,45.0,15.0,3.0,0.0,65.0,10.0,0.8,0,2023
4,20.0,6.666666666666667,7.333333333333333,0.0,41.0,5.8,0.8,0,2023
5,38.0,12.666666666666666,4.0,0.0,56.0,9.2,0.8,0,2023
9,20.0,6.666666666666667,10.0,0.3333333333333333,77.0,10.8,0.8,0,2023
11,18.0,6.0,9.666666666666666,0.3333333333333333,64.0,9.6,0.8,0,2023
7,8.0,2.6666666666666665,13.333333333333334,0.0,12.0,2.4,0.8,0,2023
8,1.0,0.3333333333333333,10.666666666666666,0.0,1.0,0.2,0.8,0,2023
10,4.0,1.3333333333333333,14.333333333333334,0.3333333333333333,14.0,2.8,0.8,0,2023
12,1.0,0.3333333333333333,16.0,0.6666666666666666,1.0,0.0,0.8,0,2023
16,1.0,0.3333333333333333,13.333333333333334,0.3333333333333333,7.0,1.4,0.8,0,2023
17,4.0,1.3333333333333333,10.333333333333334,0.3333333333333333,8.0,1.2,0.8,0,2023
19,4.0,1.3333333333333333,13.333333333333334,0.6666666666666666,8.0,1.2,0.8,0,2023
14,0.0,0.0,14.666666666666666,0.3333333333333333,1.0,0.0,0.8,0,2023
20,6.0,2.0,11.333333333333334,0.0,7.0,1.4,0.8,0,2023
13,4.0,1.3333333333333333,12.333333333333334,0.0,6.0,0.4,0.8,0,2023
15,2.0,0.6666666666666666,12.666666666666666,0.0,6.0,0.4,0.8,0,2023
18,0.0,0.0,14.333333333333334,0.3333333333333333,2.0,0.4,0.8,0,2023
9,87.0,21.75,1.5,0.0,166.0,19.6,1.0,1,2023
1,79.0,19.75,2.25,0.0,192.0,21.0,1.0,0,2023
2,57.0,14.25,3.25,0.0,83.0,9.0,1.0,0,2023
6,23.0,5.75,9.25,0.25,69.0,8.2,1.0,0,2023
3,30.0,7.5,6.75,0.0,51.0,6.2,1.0,0,2023
13,46.0,11.5,4.5,0.0,81.0,8.6,1.0,0,2023
7,21.0,5.25,12.25,0.5,61.0,7.0,1.0,0,2023
5,4.0,1.0,11.25,0.25,8.0,0.4,1.0,0,2023
8,4.0,1.0,13.75,0.5,12.0,0.8,1.0,0,2023
4,1.0,0.25,13.25,0.25,7.0,1.2,1.0,0,2023
17,2.0,0.5,10.5,0.0,2.0,0.4,1.0,0,2023
18,26.0,6.5,9.25,0.25,98.0,12.0,1.0,0,2023
10,4.0,1.0,13.75,0.0,6.0,0.4,1.0,0,2023
11,1.0,0.25,15.0,0.5,1.0,0.0,1.0,0,2023
12,6.0,1.5,12.75,0.0,8.0,1.4,1.0,0,2023
14,2.0,0.5,14.25,0.25,6.0,0.4,1.0,0,2023
16,10.0,2.5,12.25,0.0,14.0,2.8,1.0,0,2023
15,0.0,0.0,15.75,0.5,2.0,0.4,1.0,0,2023
19,4.0,1.0,13.5,0.25,14.0,2.8,1.0,0,2023
20,0.0,0.0,15.0,0.25,1.0,0.0,1.0,0,2023
1,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1,2024
5,0.0,0.0,0.0,0.0,26.0,26.0,0.16666666666666666,0,2024
4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
2,0.0,0.0,0.0,0.0,15.0,15.0,0.16666666666666666,0,2024
3,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
7,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
9,0.0,0.0,0.0,0.0,10.0,10.0,0.16666666666666666,0,2024
8,0.0,0.0,0.0,0.0,8.0,8.0,0.16666666666666666,0,2024
6,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
12,0.0,0.0,0.0,0.0,2.0,2.0,0.16666666666666666,0,2024
17,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
15,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
14,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
11,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
13,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
10,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
19,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
20,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
16,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
18,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,2024
1,26.0,26.0,1.0,0.0,44.0,22.0,0.3333333333333333,1,2024
3,18.0,18.0,2.0,0.0,69.0,23.0,0.3333333333333333,0,2024
2,12.0,12.0,4.0,0.0,27.0,13.5,0.3333333333333333,0,2024
5,4.0,4.0,8.0,0.0,12.0,6.0,0.3333333333333333,0,2024
4,2.0,2.0,9.0,0.0,3.0,1.5,0.3333333333333333,0,2024
7,10.0,10.0,5.0,0.0,16.0,8.0,0.3333333333333333,0,2024
11,0.0,0.0,0.0,0.0,43.0,14.333333333333334,0.3333333333333333,0,2024
6,8.0,8.0,6.0,0.0,24.0,8.0,0.3333333333333333,0,2024
8,6.0,6.0,7.0,0.0,24.0,8.0,0.3333333333333333,0,2024
15,0.0,0.0,16.0,0.0,0.0,0.0,0.3333333333333333,0,2024
12,0.0,0.0,15.0,0.0,0.0,0.0,0.3333333333333333,0,2024
13,0.0,0.0,12.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0,2024
17,0.0,0.0,17.0,0.0,0.0,0.0,0.3333333333333333,0,2024
19,0.0,0.0,20.0,0.0,0.0,0.0,0.3333333333333333,0,2024
9,0.0,0.0,14.0,0.0,0.0,0.0,0.3333333333333333,0,2024
14,0.0,0.0,13.0,0.0,0.0,0.0,0.3333333333333333,0,2024
16,0.0,0.0,19.0,0.0,0.0,0.0,0.3333333333333333,0,2024
20,0.0,0.0,11.0,0.0,0.0,0.0,0.3333333333333333,0,2024
10,1.0,1.0,10.0,0.0,13.0,4.333333333333333,0.3333333333333333,0,2024
18,0.0,0.0,18.0,0.0,0.0,0.0,0.3333333333333333,0,2024
2,15.0,15.0,3.0,0.0,49.0,12.25,0.5,1,2024
4,28.0,14.0,3.5,0.0,74.0,14.8,0.5,0,2024
3,12.0,6.0,7.0,0.0,28.0,7.0,0.5,0,2024
5,16.0,8.0,6.0,0.0,43.0,8.6,0.5,0,2024
6,36.0,18.0,2.0,0.0,87.0,21.75,0.5,0,2024
9,1.0,0.5,14.5,0.5,13.0,3.25,0.5,0,2024
8,0.0,0.0,14.5,0.0,0.0,0.0,0.5,0,2024
10,12.0,6.0,7.0,0.0,21.0,4.2,0.5,0,2024
16,1.0,0.5,13.0,0.0,1.0,0.25,0.5,0,2024
14,0.0,0.0,12.0,0.0,3.0,0.6,0.5,0,2024
12,0.0,0.0,13.0,0.0,0.0,0.0,0.5,0,2024
18,0.0,0.0,14.5,0.0,6.0,1.2,0.5,0,2024
17,0.0,0.0,19.0,0.5,0.0,0.0,0.5,0,2024
13,0.0,0.0,18.0,0.0,0.0,0.0,0.5,0,2024
19,0.0,0.0,14.5,0.0,0.0,0.0,0.5,0,2024
15,0.0,0.0,15.0,0.0,0.0,0.0,0.5,0,2024
7,18.0,9.0,5.5,0.0,26.0,6.5,0.5,0,2024
11,8.0,4.0,8.0,0.0,26.0,5.2,0.5,0,2024
1,51.0,25.5,1.0,0.0,97.0,19.4,0.5,0,2024
1,51.0,17.0,7.0,0.3333333333333333,97.0,14.2,0.6666666666666666,1,2024
2,46.0,15.333333333333334,3.0,0.0,123.0,15.8,0.6666666666666666,0,2024
4,40.0,20.0,2.0,0.0,93.0,15.6,0.6666666666666666,0,2024
8,47.0,15.666666666666666,3.0,0.0,108.0,16.2,0.6666666666666666,0,2024
3,27.0,9.0,5.666666666666667,0.0,55.0,9.4,0.6666666666666666,0,2024
5,16.0,5.333333333333333,7.333333333333333,0.0,25.0,4.6,0.6666666666666666,0,2024
9,18.0,6.0,9.333333333333334,0.3333333333333333,26.0,3.2,0.6666666666666666,0,2024
6,28.0,9.333333333333334,5.333333333333333,0.0,65.0,10.6,0.6666666666666666,0,2024
7,8.0,2.6666666666666665,11.333333333333334,0.3333333333333333,32.0,3.2,0.6666666666666666,0,2024
10,6.0,2.0,12.0,0.0,6.0,1.2,0.6666666666666666,0,2024
12,3.0,1.0,11.666666666666666,0.0,4.0,0.8,0.6666666666666666,0,2024
16,9.0,3.0,11.666666666666666,0.3333333333333333,33.0,6.0,0.6666666666666666,0,2024
18,1.0,0.3333333333333333,11.333333333333334,0.0,4.0,0.8,0.6666666666666666,0,2024
13,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.6666666666666666,0,2024
15,0.0,0.0,15.333333333333334,0.0,0.0,0.0,0.6666666666666666,0,2024
17,0.0,0.0,17.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0,2024
19,0.0,0.0,17.0,0.0,0.0,0.0,0.6666666666666666,0,2024
20,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.6666666666666666,0,2024
11,0.0,0.0,13.666666666666666,0.0,7.0,1.4,0.6666666666666666,0,2024
14,0.0,0.0,12.333333333333334,0.0,0.0,0.0,0.6666666666666666,0,2024
1,77.0,19.25,5.5,0.25,141.0,14.4,0.8333333333333334,1,2024
4,37.0,9.25,5.5,0.0,69.0,9.0,0.8333333333333334,0,2024
2,64.0,16.0,2.75,0.0,166.0,15.8,0.8333333333333334,0,2024
6,59.0,14.75,3.25,0.0,120.0,15.4,0.8333333333333334,0,2024
7,55.0,18.333333333333332,2.3333333333333335,0.0,132.0,16.6,0.8333333333333334,0,2024
8,24.0,6.0,8.75,0.25,34.0,2.0,0.8333333333333334,0,2024
3,24.0,6.0,7.0,0.0,33.0,4.0,0.8333333333333334,0,2024
5,32.0,8.0,6.0,0.0,87.0,11.8,0.8333333333333334,0,2024
18,10.0,2.5,10.75,0.25,42.0,3.2,0.8333333333333334,0,2024
9,3.0,0.75,11.5,0.0,4.0,0.6,0.8333333333333334,0,2024
13,0.0,0.0,15.25,0.0,0.0,0.0,0.8333333333333334,0,2024
14,0.0,0.0,14.25,0.25,0.0,0.0,0.8333333333333334,0,2024
15,0.0,0.0,16.75,0.25,0.0,0.0,0.8333333333333334,0,2024
16,0.0,0.0,15.5,0.25,0.0,0.0,0.8333333333333334,0,2024
11,9.0,2.25,11.75,0.25,40.0,5.4,0.8333333333333334,0,2024
17,1.0,0.25,11.75,0.0,5.0,0.8,0.8333333333333334,0,2024
20,0.0,0.0,17.0,0.0,0.0,0.0,0.8333333333333334,0,2024
12,0.0,0.0,15.0,0.25,7.0,1.4,0.8333333333333334,0,2024
19,7.0,1.75,11.5,0.0,7.0,1.4,0.8333333333333334,0,2024
10,0.0,0.0,16.0,0.0,0.0,0.0,0.8333333333333334,0,2024
5,55.0,11.0,4.8,0.0,91.0,9.6,1.0,1,2024
1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,2025
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
16,0.0,0.0,0.0,0.0,15.0,15.0,0.2,0,2025
6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
13,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
17,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
2,0.0,0.0,0.0,0.0,25.0,25.0,0.2,0,2025
8,0.0,0.0,0.0,0.0,4.0,4.0,0.2,0,2025
9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
19,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
20,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
18,0.0,0.0,0.0,0.0,18.0,18.0,0.2,0,2025
15,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0,2025
12,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0,2025
10,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0,2025
14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2025
1,2.0,2.0,9.0,0.0,27.0,13.5,0.4,1,2025
3,25.0,25.0,1.0,0.0,52.0,17.333333333333332,0.4,0,2025
2,15.0,15.0,3.0,0.0,27.0,13.5,0.4,0,2025
4,18.0,18.0,2.0,0.0,18.0,9.0,0.4,0,2025
11,0.0,0.0,13.0,0.0,0.0,0.0,0.4,0,2025
8,12.0,12.0,4.0,0.0,42.0,14.0,0.4,0,2025
10,10.0,10.0,5.0,0.0,10.0,5.0,0.4,0,2025
17,0.0,0.0,14.0,0.0,10.0,3.3333333333333335,0.4,0,2025
14,8.0,8.0,6.0,0.0,8.0,4.0,0.4,0,2025
15,0.0,0.0,18.0,1.0,16.0,5.333333333333333,0.4,0,2025
7,0.0,0.0,20.0,1.0,0.0,0.0,0.4,0,2025
20,0.0,0.0,15.0,1.0,30.0,10.0,0.4,0,2025
18,0.0,0.0,19.0,1.0,0.0,0.0,0.4,0,2025
19,0.0,0.0,16.0,1.0,6.0,3.0,0.4,0,2025
12,6.0,6.0,7.0,0.0,6.0,2.0,0.4,0,2025
9,0.0,0.0,12.0,0.0,0.0,0.0,0.4,0,2025
13,0.0,0.0,17.0,1.0,10.0,3.3333333333333335,0.4,0,2025
6,4.0,4.0,8.0,0.0,5.0,2.5,0.4,0,2025
5,1.0,1.0,10.0,0.0,5.0,1.6666666666666667,0.4,0,2025
16,0.0,0.0,11.0,0.0,0.0,0.0,0.4,0,2025
1,30.0,15.0,3.0,0.0,30.0,7.5,0.6,1,2025
2,43.0,21.5,1.5,0.0,70.0,17.5,0.6,0,2025
3,27.0,13.5,5.0,0.0,88.0,17.6,0.6,0,2025
4,4.0,2.0,13.0,0.5,5.0,1.25,0.6,0,2025
5,30.0,15.0,3.0,0.0,50.0,12.5,0.6,0,2025
6,20.0,10.0,5.0,0.0,60.0,12.0,0.6,0,2025
8,1.0,0.5,14.5,0.5,17.0,3.4,0.6,0,2025
7,0.0,0.0,15.5,0.5,0.0,0.0,0.6,0,2025
9,16.0,8.0,6.0,0.0,17.0,4.25,0.6,0,2025
10,4.0,2.0,11.0,0.0,14.0,3.5,0.6,0,2025
12,0.0,0.0,17.0,1.0,10.0,2.5,0.6,0,2025
14,0.0,0.0,14.0,0.0,55.0,11.0,0.6,0,2025
11,0.0,0.0,15.5,0.5,0.0,0.0,0.6,0,2025
15,1.0,0.5,14.0,0.5,19.0,3.8,0.6,0,2025
19,0.0,0.0,16.0,0.5,0.0,0.0,0.6,0,2025
16,6.0,3.0,11.0,0.0,6.0,1.5,0.6,0,2025
13,0.0,0.0,13.5,0.5,4.0,0.8,0.6,0,2025
18,10.0,5.0,9.0,0.0,15.0,3.0,0.6,0,2025
17,0.0,0.0,15.0,0.5,6.0,1.2,0.6,0,2025
20,10.0,5.0,7.5,0.0,10.0,2.0,0.6,0,2025
1,42.0,14.0,4.333333333333333,0.0,103.0,15.6,0.8,1,2025
3,40.0,13.333333333333334,3.6666666666666665,0.0,68.0,10.6,0.8,0,2025
6,61.0,20.333333333333332,1.6666666666666667,0.0,128.0,20.2,0.8,0,2025
2,16.0,5.333333333333333,10.0,0.3333333333333333,23.0,3.8,0.8,0,2025
9,7.0,2.3333333333333335,12.0,0.3333333333333333,35.0,6.0,0.8,0,2025
7,55.0,18.333333333333332,2.3333333333333335,0.0,55.0,7.4,0.8,0,2025
4,0.0,0.0,14.666666666666666,0.3333333333333333,0.0,0.0,0.8,0,2025
14,10.0,3.3333333333333335,12.0,0.0,15.0,3.0,0.8,0,2025
10,0.0,0.0,13.333333333333334,0.0,63.0,9.0,0.8,0,2025
20,5.0,1.6666666666666667,10.666666666666666,0.0,19.0,3.8,0.8,0,2025
5,28.0,9.333333333333334,5.333333333333333,0.0,86.0,11.8,0.8,0,2025
15,18.0,6.0,7.0,0.0,19.0,1.8,0.8,0,2025
12,4.0,1.3333333333333333,13.0,0.3333333333333333,4.0,0.8,0.8,0,2025
11,0.0,0.0,15.666666666666666,0.3333333333333333,6.0,1.2,0.8,0,2025
13,0.0,0.0,15.0,0.6666666666666666,10.0,0.4,0.8,0,2025
17,0.0,0.0,14.666666666666666,0.3333333333333333,4.0,0.8,0.8,0,2025
19,10.0,3.3333333333333335,11.666666666666666,0.0,10.0,0.4,0.8,0,2025
18,0.0,0.0,16.333333333333332,0.3333333333333333,6.0,0.0,0.8,0,2025
8,1.0,0.3333333333333333,14.0,0.3333333333333333,19.0,1.8,0.8,0,2025
16,6.0,2.0,12.666666666666666,0.0,6.0,0.0,0.8,0,2025
2,67.0,16.75,3.5,0.0,143.0,18.2,1.0,1,2025
1,63.0,15.75,3.25,0.0,65.0,7.0,1.0,0,2025
4,28.0,7.0,8.5,0.25,45.0,8.0,1.0,0,2025
10,76.0,19.0,2.0,0.0,168.0,19.6,1.0,0,2025
3,58.0,14.5,3.25,0.0,86.0,8.8,1.0,0,2025
5,28.0,7.0,6.75,0.0,96.0,9.2,1.0,0,2025
7,17.0,4.25,10.25,0.25,60.0,11.0,1.0,0,2025
6,1.0,0.25,15.25,0.5,19.0,0.6,1.0,0,2025
11,18.0,4.5,8.25,0.0,23.0,1.2,1.0,0,2025
14,4.0,1.0,13.0,0.25,4.0,0.8,1.0,0,2025
13,0.0,0.0,15.0,0.5,10.0,0.0,1.0,0,2025
12,0.0,0.0,15.0,0.25,5.0,1.0,1.0,0,2025
15,6.0,1.5,10.5,0.0,20.0,2.0,1.0,0,2025
19,14.0,3.5,11.0,0.0,20.0,1.2,1.0,0,2025
18,6.0,1.5,14.5,0.25,6.0,0.0,1.0,0,2025
16,10.0,2.5,13.0,0.0,10.0,0.0,1.0,0,2025
17,0.0,0.0,15.25,0.25,6.0,1.2,1.0,0,2025
20,0.0,0.0,16.75,0.25,6.0,0.0,1.0,0,2025
8,2.0,0.5,12.25,0.0,83.0,10.6,1.0,0,2025
9,6.0,1.5,12.75,0.25,6.0,1.2,1.0,0,2025
